Адрес;Объект;Все регистрации устройств, шт. в мае 2017 г.
Ярославль, ленинградский пр-кт 37/а;Сидорин;15
Ярославль, полушкина роща 11;СИМ;447
Ярославль, полушкина роща 11;СИМ;2958
Ярославль, первомайская 59;Славянский ресторан;134
Ярославль, первомайская 59;Славянский ресторан;188
Ярославль, мышкинский проезд 26;СТО Маслов, автотехцентр;68
Ярославль, мышкинский проезд 26;СТО Маслов, автотехцентр;26
Ярославль, богдановича 20/а;Стройгарант;55
Ярославль, богдановича 20/а;Стройгарант;28
Ярославль, свободы 32/а;Такеши, городское кафе;135
Ярославль, свободы 32/а;Такеши, городское кафе;59
Ярославль, первомайская 47;Тарелка, суши-бар;64
Ярославль, первомайская 47;Тарелка, суши-бар;105
Ярославль, дачная 3;Теннисный клуб на Дачной;152
Ярославль, дачная 3;Теннисный клуб на Дачной;290
Ярославль, тутаевское ш 54;Техноторг;62
Ярославль, тутаевское ш 54;Техноторг;37
Ярославль, депутатская 7;Ткаченко Сергей Леонидович;17
Ярославль, депутатская 7;Ткаченко Сергей Леонидович;5
Ярославль, белинского 28/а;Фирма по утилизация оргтехники и компьютеров ТехПромРесурс;12
Ярославль, белинского 28/а;Фирма по утилизация оргтехники и компьютеров ТехПромРесурс;8
Ярославль, чехова 46/а;Хостел Путник;123
Ярославль, чехова 46/а;Хостел Путник;474
Ярославль, октября пр-кт 3;Штолле;39
Ярославль, октября пр-кт 3;Штолле;70
Ярославль, нахимсона 18;Я люблю тебя, Жизнь!;221
Ярославль, нахимсона 18;Я люблю тебя, Жизнь!;659
Ярославль, гоголя 18;ЯНТА;8
Ярославль, гоголя 18;ЯНТА;7
Ярославль, чкалова 1/б;ЯРБУРГ;4
Ярославль, чкалова 1/б;ЯРБУРГ;10
Ярославль, ленина пр-кт 59/а;Ярстик, производственная компания;5
Ярославль, ленина пр-кт 59/а;Ярстик, производственная компания;3
Ярославль, кирова;Городской Wi-Fi;610
Ярославль, стрелка;Городской Wi-Fi;860
